Repositorio;Anos;nº PullRequests;nº Releases;Último Update (dd);Linguagem Mais Comum;Issues Fechadas ( % );Estrelas
nvm-sh/nvm;13.91;705;66;0;Shell;83.43;74470
florinpop17/app-ideas;5.04;149;0;0;;28.47;73786
doocs/advanced-java;5.43;79;1;0;Java;97.92;73665
FortAwesome/Font-Awesome;12.06;202;54;0;JavaScript;71.63;72846
spring-projects/spring-boot;11.39;42;266;0;Java;98.22;72054
gohugoio/hugo;10.68;2354;259;0;Go;93.66;71693
typicode/json-server;10.29;117;34;0;JavaScript;47.84;70727
vuejs/awesome-vue;8.39;3463;0;0;;85.07;70630
excalidraw/excalidraw;4.19;3280;13;0;TypeScript;59.05;69849
jaywcjlove/awesome-mac;7.65;826;7;0;JavaScript;74.62;69678
tiangolo/fastapi;5.25;1696;177;0;Python;98.79;69068
oven-sh/bun;2.9;2613;123;0;Zig;59.4;68721
home-assistant/core;10.48;55812;1000;0;Python;94.49;67824
yt-dlp/yt-dlp;3.37;1907;78;0;Python;81.68;67503
moby/moby;11.14;19529;161;0;Go;86.68;67447
netdata/netdata;10.73;8034;78;0;C;97.33;67405
thedaviddias/Front-End-Checklist;6.4;173;1;0;;99.31;67136
base-org/node;1.1;86;27;0;Shell;95.1;67050
elastic/elasticsearch;14.09;61967;138;0;Java;88.13;66973
massgravel/Microsoft-Activation-Scripts;4.16;3;14;0;Batchfile;98.52;66659
hakimel/reveal.js;12.76;396;46;0;JavaScript;70.48;66616
pallets/flask;13.93;1543;33;0;Python;99.89;65928
mermaid-js/mermaid;9.36;1970;120;0;JavaScript;68.94;65760
apple/swift;8.38;47116;52;0;C++;56.94;65534
DopplerHQ/awesome-interview-questions;8.28;175;0;0;;54.39;65353
krahets/hello-algo;1.35;670;7;0;Java;90.08;64818
microsoft/ML-For-Beginners;3.02;354;0;0;HTML;0.0;64815
coder/code-server;5.03;1427;141;0;TypeScript;90.74;64576
CompVis/stable-diffusion;1.58;5;0;0;Jupyter Notebook;27.31;64203
webpack/webpack;12.01;4535;410;0;JavaScript;98.37;64016
supabase/supabase;4.41;7956;11;0;TypeScript;94.68;63863
vitejs/vite;3.88;4139;397;0;TypeScript;94.35;63754
ChatGPTNextWeb/ChatGPT-Next-Web;1.0;543;57;0;TypeScript;93.56;63722
anuraghazra/github-readme-stats;3.67;1079;0;0;JavaScript;91.43;63700
redis/redis;14.98;3679;65;0;C;68.99;63611
Developer-Y/cs-video-courses;7.38;138;0;0;;100.0;63608
expressjs/express;14.71;275;148;0;JavaScript;96.55;63390
nestjs/nest;7.09;6023;93;0;TypeScript;99.11;63320
chartjs/Chart.js;10.98;2932;108;0;JavaScript;95.15;63115
protocolbuffers/protobuf;9.54;4940;151;0;C++;90.84;63102
josephmisiti/awesome-machine-learning;9.65;820;0;0;Python;100.0;62964
bregman-arie/devops-exercises;4.43;261;0;0;Python;71.79;62483
fighting41love/funNLP;5.55;14;0;0;Python;68.12;62335
MunGell/awesome-for-beginners;8.38;335;0;0;;80.95;62286
nomic-ai/gpt4all;0.95;456;10;0;C++;74.91;62222
leonardomso/33-js-concepts;5.52;236;0;0;JavaScript;79.01;61413
kdn251/interviews;7.07;42;0;0;Java;42.31;61352
resume/resume.github.com;13.09;84;0;0;JavaScript;52.21;61234
enaqx/awesome-react;9.6;775;0;0;;95.19;61207
twitter/the-algorithm;0.95;2;0;0;Scala;72.47;60920
rustdesk/rustdesk;3.44;2345;13;0;Rust;98.21;60607
keras-team/keras;8.96;3233;59;0;Python;98.34;60597
